wrd_no_1,MEAN,MEAN,c.index
35,32.62940874,31.24453368,0.935727678
27,31.42314417,31.03566024,0.261813822
37,35.17828313,32.22849818,1.99310068
36,28.12750832,27.5295858,0.404002258
34,36.87325543,32.72656629,2.801820839
38,33.02469079,31.2241014,1.216616124
33,36.26904492,32.57347644,2.49700916
32,36.13195726,32.56262263,2.411715899
28,35.35209904,32.10882962,2.191401272
31,35.0697532,32.2564664,1.900872065
39,34.80423893,32.1919048,1.765093053
29,35.63169128,32.89369688,1.849998756
40,35.71643978,32.89174574,1.908579677
41,34.58003772,32.52865614,1.386070536
21,32.84822934,30.4220052,1.639342889
25,33.10895572,31.18931781,1.29705442
26,32.87980386,31.27544933,1.084024823
24,32.56056636,31.3005921,0.85133513
23,32.47188671,31.76444223,0.478003685
20,33.65904098,31.15651062,1.690901214
18,33.24614614,32.44890077,0.538680039
19,32.50672252,31.83142425,0.456283242
17,33.15547974,31.2938695,1.257846484
14,33.0082361,31.02272768,1.341561584
15,32.48669623,31.39298822,0.738992919
16,32.43261296,31.67775436,0.510040293
10,32.48304737,31.51221095,0.655971455
13,32.55818719,30.94948069,1.086965344
11,31.85444796,31.19012371,0.448868351
9,31.82812158,31.03318489,0.537120121
12,31.47713194,30.36375784,0.752280825
8,32.93955459,31.99424073,0.638726457
7,32.65651355,31.86676871,0.533612111
5,32.06738445,30.72561413,0.906602807
6,31.94879065,31.39530935,0.373974363
4,32.09779698,31.2201417,0.59301114
3,33.27494064,31.51707723,1.187747178
2,32.60861629,31.50221343,0.747570528
1,33.09807079,31.07951701,1.363889559
30,34.55541414,32.51993913,1.375322839
22,32.56588715,31.1127605,0.98184368
