wrd_no_1,MEAN,MEAN,c.index
1,31.07951701,32.63531601,1.146832905
2,31.50221343,32.96727734,1.079948953
3,31.51707723,34.20445522,1.980958663
4,31.2201417,28.79504073,-1.787625261
5,30.72561413,34.07938193,2.472177489
6,31.39530935,33.3229606,1.420937979
7,31.86676871,34.12499023,1.664612686
8,31.99424073,33.75864955,1.300606378
9,31.03318489,33.35371133,1.710539781
10,31.51221095,33.70478401,1.616220954
11,31.19012371,33.88740812,1.98826103
12,30.36375784,33.78263003,2.520168173
13,30.94948069,34.0414393,2.279188944
14,31.02272768,33.96631937,2.16982259
15,31.39298822,33.15175933,1.29645063
16,31.67775436,32.65045516,0.717011184
17,31.2938695,32.752,1.074838099
18,32.44890077,32.770705,0.237212955
19,31.83142425,33.10873193,0.941547382
20,31.15651062,33.04392071,1.39127484
21,30.4220052,33.45743677,2.23752092
22,31.1127605,33.06909147,1.442078787
23,31.76444223,32.77111692,0.742054511
24,31.3005921,32.16740344,0.63895643
25,31.18931781,32.8396712,1.216532195
26,31.27544933,33.06559107,1.31957499
27,31.03566024,32.70075302,1.227397105
28,32.10882962,32.33778312,0.168769495
29,32.89369688,32.62498437,-0.198077223
30,32.51993913,32.62344261,0.076295973
31,32.2564664,32.36685532,0.081371467
32,32.56262263,33.73314705,0.862833773
33,32.57347644,33.56396418,0.730122551
34,32.72656629,32.65253025,-0.054574507
35,31.24453368,33.25786513,1.484095794
36,27.5295858,32.37155109,3.569179004
37,32.22849818,32.41761483,0.139404387
38,31.2241014,32.4324737,0.890732752
39,32.1919048,31.99414346,-0.145776677
40,32.89174574,33.57504103,0.50368044
41,32.52865614,32.62488568,0.070934102
