wrd_no_1,MEAN,MEAN,c.index
1,32.63531601,34.22486078,0.728180629
2,32.96727734,34.46909113,0.687990503
3,34.20445522,35.70461333,0.687232027
4,28.79504073,30.32918084,0.702799398
5,34.07938193,35.41985647,0.614079963
6,33.3229606,35.17861331,0.850086376
7,34.12499023,35.9280011,0.825970812
8,33.75864955,36.26667798,1.148943867
9,33.35371133,35.30414554,0.893506387
10,33.70478401,36.18852038,1.137815517
11,33.88740812,36.005795,0.97044658
12,33.78263003,36.6351774,1.3067702
13,34.0414393,36.41077133,1.08540616
14,33.96631937,36.23733868,1.040368477
15,33.15175933,37.32828182,1.913291672
16,32.65045516,35.54100395,1.324178891
17,32.752,35.61351227,1.310877076
18,32.770705,35.64058382,1.314709846
19,33.10873193,36.55462988,1.578587896
20,33.04392071,36.80163397,1.721432485
21,33.45743677,37.33847869,1.777930135
22,33.06909147,36.69597523,1.661498652
23,32.77111692,35.8008502,1.387940198
24,32.16740344,35.24081562,1.407949782
25,32.8396712,36.43533531,1.647196733
26,33.06559107,37.48544021,2.02476117
27,32.70075302,36.25606058,1.628709137
28,32.33778312,35.57086254,1.481094365
29,32.62498437,36.45417693,1.754177608
30,32.62344261,35.68048646,1.400451342
31,32.36685532,35.60102009,1.481591568
32,33.73314705,36.9088979,1.454831779
33,33.56396418,35.9857839,1.109451108
34,32.65253025,35.90367644,1.489370871
35,33.25786513,36.97668877,1.703616904
36,32.37155109,35.61618501,1.486387557
37,32.41761483,34.43009236,0.92192883
38,32.4324737,33.97076416,0.704700699
39,31.99414346,33.62643207,0.747761852
40,33.57504103,36.23028459,1.216384061
41,32.62488568,35.6874206,1.402966839
