wrd_no,MEAN,MEAN,c.index
1,33.09807079,34.22486078,0.547116685
2,32.60861629,34.46909113,0.903359834
3,33.27494064,35.70461333,1.179735772
4,32.09779698,30.32918084,-0.858757538
5,32.06738445,35.41985647,1.627804104
6,31.94879065,35.17861331,1.568251293
7,32.65651355,35.9280011,1.588481819
8,32.93955459,36.26667798,1.615495993
9,31.82812158,35.30414554,1.687795163
10,32.48304737,36.18852038,1.799204926
11,31.85444796,36.005795,2.015700567
12,31.47713194,36.6351774,2.504506382
13,32.55818719,36.41077133,1.870635232
14,33.0082361,36.23733868,1.567901659
15,32.48669623,37.32828182,2.350848223
16,32.43261296,35.54100395,1.509289734
17,33.15547974,35.61351227,1.193505989
18,33.24614614,35.64058382,1.162627298
19,32.50672252,36.55462988,1.965475078
20,33.65904098,36.80163397,1.525896635
21,32.84822934,37.33847869,2.180255727
22,32.56588715,36.69597523,2.005378205
23,32.47188671,35.8008502,1.616389459
24,32.56056636,35.24081562,1.301404076
25,33.10895572,36.43533531,1.615134838
26,32.87980386,37.48544021,2.236282273
27,31.42314417,36.25606058,2.346638873
28,35.35209904,35.57086254,0.106221353
29,35.63169128,36.45417693,0.399360685
30,34.55541414,35.68048646,0.546282661
31,35.0697532,35.60102009,0.257958432
32,36.13195726,36.9088979,0.377246147
33,36.26904492,35.9857839,-0.137538344
34,36.87325543,35.90367644,-0.47078235
35,32.62940874,36.97668877,2.110836491
36,28.12750832,35.61618501,3.63615224
37,35.17828313,34.43009236,-0.363286554
38,33.02469079,33.97076416,0.459369119
39,34.80423893,33.62643207,-0.571888097
40,35.71643978,36.23028459,0.249499081
41,34.58003772,35.6874206,0.537693497
